nouns,label
다리 감 피곤,11
사구체 신장병,28
목,7
대장암 수술 유산균 섭취,4
위염 위궤양 증상,4
명치 부분 거립니,4
소독 용 에탄올 흡입,4
오른쪽 배 통증,4
고혈압 답변,23
편도결석,7
비타민 하루 권 장량,24
바이러스 코로나 걱정,2
골 밀도 검사 방사 선량,22
고혈압 질문,23
비타민 과잉 섭취,24
냉방 병일,24
헛구역질,4
변비 약 성분 산화마그네슘 산화마그네슘 뭣,4
아연 섭취 기준,24
가슴 아침 얼굴,23
수치,4
심장 내과 이유,23
레이 노드 증후군,10
요즘 스트레스,8
추가 감염병 환자 소변 분비물 침등 접촉,18
요도 염,26
의료 상담 요청 로나 민 골드 정 뇌 세포막 통과 치매 예방 도움,8
코로나 증세 생활 공간 분리 언제,2
급성 미란 위염 증상,4
지속 변 면 동글동글 변,4
역류성 식도염,4
혈변 눴어,4
친구 증상 경동맥 박동 소리 게다가 이명 겹,7
고혈압 맥박 대면 몸 문제,23
가위 눌림,8
심장병,23
소변 검사 단백뇨,26
수치,2
금요일 화 밤 뒤통수,23
건강검진 당뇨 공복 혈당 더 정밀 검사,22
배꼽 아래,4
임파선,18
가슴 숨,23
가슴 답답 등 몸 상태 병원,23
목 가래,7
가슴 위 명치 뭐 증상,4
지우개 가루 흡입,4
변비 설사 대장암,4
전방 위증,12
수치,2
잔기침,7
변비 올리브유,4
소화 불량 개월 위 내시경,4
혈관 경화 요법 착색,0
간 낭종 간수치 질의,4
독감 등 예방주사,2
애 낳을 때 약 부작용 변비 해결 됫네,4
감,18
가래 피,2
사진 부위 심장 검사 사람,23
주전 검사 심장 촘파 운동 부하 단계 동맥경화 심장 정상 얐슴,23
체중 감소,22
자고 식은땀,24
자가면역질환 기관지 음식,27
사진 손 부위 통증,20
백혈구 수치,9
신경 뇌종양 소뇌,12
소화 불량 명치 통증 내시경 검사 주기,4
두통 증상 상황 코로나 두통 생각 듭니,6
사진 손 키 곳 혹시 코로나 검사 대상,2
오른쪽 목,7
대장 내시경,4
주전 냉 대변,4
체 뒤 후유증,4
머리 렁 구역 약,4
머리 아픔 렁,4
허리 통증 손발,12
마비 된거,4
관자놀이 핏줄 멍,9
밤낮 야간 근무 건강,8
네 김치,4
오른쪽 흉통,23
경도 승 판막 폐동맥 판막 역류 증,23
정수리 부근 통증,6
편두통,6
메녹틸정 가스 때 효과,4
생리 증후군 변비 생기 기도,25
가스 틴 에스 알 정은 약,4
복통 심해,4
심전도 사진,23
인슐린 마지막,22
저녁 혈압 더,23
어지럼증 몸 기운 체,4
내시경 결과 재,4
운 두통 속,4
위축 위염 장상 피 미란 위염 식도염 신부전,4
위 내시경 결과,4
거북목,12
흉부,17
아기 돌 발진,0
당뇨 합병증 확률 질환,22
머리 외상 간 적 외 사시,12
명치 끝,17
심전도 이상 초음파 심장,23
몸 힘 다리 누우,6
세인트존스 워트 국내 의약품,24
정장 매일 복용,4
편두통 약,6
왼쪽 가슴 부근 통증 질문,23
혈압 이완 답변,23
코 포르테 시럽 포 복용 음주,2
건강검진 간수치,4
혈압 이완,23
혈압 이완,23
약간 복통,4
몸 발열 코로 나일,2
편도 질병 법,7
근이완제 위장 약,4
몸 감 건,18
간 항목,4
전신 감각 이상,6
배 살이 유독 이유,22
식후 혈당,22
아스 페르 길 루스 증 항 알러지 주사,27
층 흡연 갈색 가래 발생 수도,2
위 부움 스트레스,4
한쪽 팔다리 힘,6
위 부움,4
저녁 혈압 더,23
기침 코로나 증상,2
메녹틸정 때,4
살이,22
기립 저혈압,23
메녹틸정 약,4
부정맥 검사,23
과민성 대장 증후군 처방약 성분,4
팔베개 슉슉하 소리,7
당뇨,22
당뇨 허기,22
약 성분 저 중 메스꺼움 약 건가,4
전신 두드러기 약 중 조영제,27
변비증,4
소변,26
아기 미열,2
체중 감소 갈비뼈 등,13
원장 추가 편두통 원래 양쪽 번갈아 가면 수도,6
달반 주사 부근 두드러기,0
예방접종,25
마 밀 효과,4
변비 기도,4
배 거 변,4
눈 초점 주위 중 일부 증세 구역 감,5
비타민,24
목 목마름 증상 목 내시경 검사,7
목 칼칼 겸 검사 괞,7
후두 염 증상 목 칼칼 서약 위 내시경 검사,7
고지혈증 약 바로,22
약국 판매 영영 제도 합성 비타민,24
감전,21
아버지 가슴 성적 피로,23
손 과,24
안구 통,5
조금 어도 두통,5
눈 앞 부분,5
이전 심장병 라면 의 심잡음,23
부정맥,23
천식 알러지 의료 상담 요청,27
엄마 형 간염 보균자 혈침,24
배변 습관,4
웰콘정 효과 건가,4
매일 변 양,4
체,4
그냥 가래,2
입냄새,4
판 토라 인과 라비 트,4
추가 홍인 표 전문의 님 알러지 비염,7
감사 바로 정 피타 바스타 틴 저녁,22
네 코피,7
알러지 약 질문,27
우유 웰콘정,4
가래 계속 헛기침 고,2
락토 프리 우유 유산균,4
웰콘정 마 밀,4
식도 경련 수도,4
기침 증상 코로나 증상 인지,2
엠에스 엠 장기 복용,20
고지혈증 약 바로,22
양제 추가 질문,24
명치,20
식은땀,24
아기 코딱지 이쑤시개,7
코로 음식물 역류,4
갈색 가래,2
위 내시경 목 통증 발열,7
양제 성분,24
고막 체온,18
날때,2
증상 콩 코르 정,23
잠 두통,6
항진,23
증상 소변 검사,26
항진 과 손목 맥박 수도,23
인슐린 호르몬 분비 증가,22
스파르가눔 기생충 감염 서요,18
여자 팔 왼손 저림 심장 부근 가슴 등 욱씬거림,6
구충제 복용,4
증상 당뇨,22
과일 주스,4
목 물감,7
구충제 복용,4
일사병,21
감기 약과 피임 약 복용 상호작용,25
편도염 코로나,7
목 가래 피,2
혀 안쪽 미세 유리 조각,21
목 가래 피 코로나,2
특정 음식 토,27
종양 표지,4
후,22
종합병원 위 내시경,4
난소 낭종,25
금요일 어지러움 증상 더위 먹음,21
맥주 소주 중 몸 더 뭘,4
기침,2
가슴 식사,4
위염 위 무력 증 위 하수 운동,4
라면 섭취 배 살살 설사,4
대변 거품 일어,4
가슴 답답 증상,4
눈 물감 두통,5
매독 증상,18
곰팡이 질문,18
제산제 복통,4
편도염 성병 편도염,7
집 지니 상비약,21
홍인 표 현재 증상 가스 상태,4
몸 양제 모기 약 구입,24
간수치,4
생리 체온,25
설사 열 조금 건가,4
암 중 담배 몸,2
평소 냉 소화,4
홍인 표 술 아주 가끔,4
변비 배변 위,4
병원 후두 식도 역류,4
트로포닌 수치 정상 인지,23
건강 검진 결과 간,4
피부 발진 습,0
소변 크레아티닌 수치,28
심박수 바로,23
혈당,22
목 가래 대학병원 이비인후과 진료,7
왼쪽 턱밑 목젖 주위 통증,7
목 물감 소화 관계,4
목 현상,7
재차 항문 약 복용 위 증상,1
헌혈 건강,9
단순 장염,4
단순 장염,4
골다공증 검사,22
배변,4
기침 때 배 통증,2
비 스테로이드 소염제 위궤양 자연 치유 재발,4
미열 몸 감,2
빈혈 검사,9
이마 몸 감 더위 먹음 건 사진 첨부,2
거품 변 노란색 변,4
여름 감기 코로나,2
가끔 기침 기침 컹컹 소리 걸,2
열 사진 첨부 더위 먹음,21
고지혈증 약,22
음식 목구멍 통증 심해,4
목 물감 목,7
고지혈증 복용,22
검은색 변,4
증상 열,18
색 변,4
어지러움,6
소화기 내과 내시경,4
장내 세균 증식 치료 어덯 치료,4
하나 더 느낌 약간,6
이유 흉부,23
역류성 식도염 약 복용 중 어지럼증,4
혹시 미열,2
코엔자임큐텐 양제 냉장고 보관 해도,24
장염 약 질문드랴,4
응급실,21
목 목칼칼 느낌,7
공복 혈당 연령,22
위축 위염 건가,4
목젖 부근 통증,7
방금 기립 저혈압,23
기립 저혈압,23
기립 저혈압,23
설사 점액 피,4
흉 통과 갈색 가래침,2
더위 증상 몸살,6
식도염 약 복용 때 어지럼증,4
복부 팽창,4
질문 정말 일반인 인슐린 사용 근육 방비 더,22
왼쪽 측면 위쪽 머리 부분 정수리,6
입술 아래 턱 뼈 통증,6
목칼칼 답답 음음 목 조금,7
기침 주 이상 코 목 이상무,2
배랑 등 통증,4
증상 열,18
형 간염 항체 저절로,4
자궁경부 이형성 증,25
고지혈증 진단,22
장염 위염 차이,4
체중 감소 팔다리,6
피 검사 백혈구,9
소금 섭취 량,24
변 볼때 힘 주 위 무리 가나,4
곰팡이 종류 확인,18
인슐린 말단비대증 남성화,22
비타민 칼슘,22
골다공증 예방 위해 칼슘 약 게,22
제한 환기 장애,2
자궁경부암 검사 해석,25
사후 피임 약 복용,25
위 내시경 음식,4
가슴 답답,23
심박수 가요,23
장염,4
위 무슨 병 소화 불량,4
한쪽 손,6
위장 법,4
장염 화가 처방 위염,4
요새 엄마 곤란 구역 구토 고생,4
경추 디스크,12
질 체력 운동 시작,11
몸살,2
장염 변비 사과,4
복통,4
백신 또,18
등 상처,0
밥 식후 혈당 이면 정상인 건가,22
당뇨 식단,22
위염 위장염,4
형 간염 활동 판정,4
당뇨 정밀 검사,22
장염 이후 위염 오기,4
마 밀 기도,4
배 증상,4
체중 감소 카 등등,22
병 담 위염 식도염 소화 불량,4
식후 혈당,22
고기 설사,4
복부비만,22
당뇨 질문,22
음식물 옥수수 알 기도 가능성 증상,2
불안 증후군,8
치약 실수 약 복용,4
자궁경부암 검사 비정 세포 이유,25
수막 균 예방접종,18
복통 추가,4
가슴 통증,23
췌장염,4
목 물감 아침 목,7
위 증상,4
홍삼 부작용,24
피 검사 소독 솜 사용,18
장염 속 가나,4
간 기능 수치,4
위암,4
갑상선 수술 성적 칼슘 환자 이상 칼슘 복용 문제,22
자궁경부암 검사 결과,25
내시경,4
비오틴,24
양배추 즙 권 장량,24
몸살,2
위산 잠깐 역류,4
열 설사 근육통 혹시 코 비드 증상,2
인후 염 뭘,7
심장 검사 더리 중,23
목,7
술 약,4
당뇨 환자 홍삼 오메가 요,24
비타민 섭취,24
오메가 보관 법,22
요가 운동 때 위 신물,4
신경 위염 머,4
식사량 평상시,4
복통,4
뱃살 제일,22
병원 속 진단,4
마이쮸 목,21
씬지록신 복용 트립토판,22
건강검진 당뇨,22
목 상당,24
갑상선,22
생수 때 단맛 이나 이유,24
관장 약 게,4
건강 기능 식품,24
이번 피 검사 비타민,24
지금 식도염 약 복용 거의,4
유로 겐 수치,4
양치 입헹굴때 목 피 냄새,7
칼슘 추가,22
장마철 곰팡이 아기 아기 요,18
고혈압 커피,23
소화 불량 숨쉬기 열,4
지금 다이어트 네오,22
가슴 답답,23
설사,4
마 하루 알,4
개 월동,6
어지러움 증,6
혈당,22
목 물감,7
대변 볼때 배 통증,4
저녁 오이 위산 역류 칼라 지아,4
늑골 은 결합조직 장애,10
사제 놀 복용,4
운동,2
고혈압 약 복용 장기 손상 근거,23
자궁경부암 관계,25
티 파정 티리톤정,4
식욕부진,8
위산 제약 위산,4
가슴,3
당뇨 것,22
몸 감,2
목 아픔,7
쇠약 감 피로 증상 거,24
혈관 여부 알 볼 수 검사,23
혀 옆 뭐,7
설사,4
타치,7
식사 때,24
초 살 피똥,4
약 반년 숨쉬기 답답,2
머리 속 얼굴 안쪽,6
자고 쌍 풀 사진 여기,28
현재 증상 식도염 알레르기 식도 이완 불능 증인,4
자고 쌍 풀,28
웰콘정 변비,4
변기 혈뇨,26
모기 물리,0
심박수 증가,23
알 벤다 졸 구충제 양제,24
오메가 출혈,9
목 물감 스트레스,7
해 포스 레오,24
혹시 공복 혈당 때 물 결과,22
혈당 문제,22
소변 검사 결과 체크,26
해 포스 레오,24
류마티스 다발 근육 염,10
목,7
목 이상,7
심장 검사 질문,23
장염 속 미식 거림,4
심장,23
질문 심장,23
가슴,23
식도 압 검사 하부 괄약근 압력,4
장염 퇴원 사과,4
후반 여자 일시 쇼크 긴장 풀림,6
숨 가래,2
두유 아픔,4
편두통 진통제,6
빈혈 검사,9
장염 퇴원 샐러드,4
장염 변비,4
편도염 코로나 수도,7
편도 몸살 증상,7
지르텍,27
추가 요 위장 장애 부작용 약,4
통수,12
하지정맥류,17
머리 한쪽,6
왼쪽 저림 증상,6
관절 사타구니 통증,20
목안 물감,7
목 매일 목 위로 뻐벅 뼈 소리,7
손톱 밑 모세혈관,10
연속 두통,6
턱관절 두통 어지럼증,24
관계 통증 질문 남자,26
소변 거품 당뇨,26
자궁 선근 증,25
일본 고혈압약 질문 사람,23
아침 약 복용 저녁 음주 여부,4
일본 고혈압약 약 정보,23
당뇨,22
당뇨 약 복용,22
가스트린 종은 점막 결절,4
유전자 유전자 유전자 건가,4
십이지장 궤양 위산,4
종아리,24
공복,4
구강 감,10
비만 세포 사람 라면 정상 세포,27
유리 조각,21
칼 테오 칼슘 반감기 시간,22
저희 할머니 피멍,9
하루 끼,22
수치 복용 시기 내분비 내과 답변,22
식중독 주일 이상 기도,18
수치 복용 시기,22
비만 호흡 상태,22
단백질 보충 섭취 법,24
트루 패스 구강 붕 해정,26
위염 치료 중 귀 염증 약,4
생리통,25
술 명치 부위,4
가슴,23
현기증 저체온증,6
과 호흡 전해질,28
입안 혹시 배 체트 병,10
수면 내시경 피로,4
몸 마그네슘 부족,6
수술 한코 염증 검사,15
역류성 식도염 회복기,4
밥 위 불편,4
위염 식도염 두통,4
배 걸 배,4
빈혈 원인 알 수 검사,9
응고 피 변 주변 피,4
주사 멍 금방,0
양쪽 점액 낭종 왼쪽 부비동염 수술,7
신경 차단 주사 시술 투여 액,13
과도 단백질 극단 탄수화물,24
변,4
갑상선 초음파 결과,22
감 재,2
마 밀정 하루 식,4
몸 감,2
감,2
심장 질문,23
재 부위,22
식도 압 검사 정상 역류 이유,4
골다공증,22
골다공증,22
살 골다공증 확률,22
변비,4
장염,4
시판 진통제 타이레놀,13
타이레놀,13
가정 혈압 병원 혈압 차이,23
신경치료 이빨 통증 치성 상악동 염,14
가지 기립 협압,23
메리 골드 차 유통 기한,24
콜레스테롤 저하 비 약물 복용 약물 복용,22
어지럼증 소화 불량 때매,4
점액 변,4
성인 백일해 예방접종,2
집 글리세린 관장 때 요,4
두통,6
여름철 식중독 배탈,4
배 증상,4
다이어트,22
배 바늘 처럼,4
아침 식전 식도염 약 바로 걷기 운동 해도,4
아침 식전 식도염 약 걷기 운동 해도,4
장염 약,4
넥 시메 졸 캡슐 식후 복용,4
위염 역류성 식도염 오티렌 정,4
신경 일이 증상,8
앞목,24
스트레스 바로 위 통증,4
식도 산도 검사 이유 가용,4
성병 편도염 사이 관계,7
경부 초음파 관찰,7
현재 머리 재 대학병원 라면,6
결명자차 식수 대용,24
현재 머리,6
위 용종,4
목 물감 차 병원 진료,7
결명자차 대장 갈색,24
칼슘 수치,22
밤 왼쪽 머리 느낌 왼쪽 정수리 부분 시림 증상 내용 추가,6
깜짝 심장마비 수도,23
이뇨제 복용 중단 체중 증가,28
몸살 감기 코로나 증상,2
피지 낭종,22
비타민 스테로이드 성분,20
청소년 질내사정 임신,25
목 멍울,7
당뇨 가루 복용 약물 상호작용,24
구토 소화 불량,4
위 내시경,4
목 멍울 증상,4
가슴 가운데 통증,23
밤 누 때 왼쪽 옆 머리 느낌,6
아침 위,4
아기 오일 먹음,4
악보 휘 종종 머리,5
임신 테스트 결과,25
운동 기초 체력,11
장염,4
폐암 확률,2
후두 식도역류 목 현상,4
노 스위퍼 서요,7
침 때 가래 때 목 뚜둑 물감,7
목 물감 고민,7
특수 건강검진 음주,4
생리,25
질문 임신 가능성 증상,25
골다공증 신장 질환,28
증 치료,7
신지 이드 갑상선 저하 증 약 덱실란트 디알 캡슐 복용,22
아기 토,4
과민성 대장 증후군 수,4
파상풍 재,18
파상풍 재,18
역류성 식도염 유제품,4
왼쪽 가슴 송곳 통증,23
목 고생,7
침 때 목 뚜둑 물감,23
보고 추가 대장암 등 질병 걱정,4
목소리 쉬 평소 차이점,7
뇌 질환,6
위 전반,4
위 상태 증상 번,4
왼쪽 눈 안구 통과 두통 머리 이명 소리,7
물 하루 리터 가까이,24
당뇨 약 복용,22
위장 증세,4
변성기,7
손가락,20
과 나이,28
개선,28
허리 둘레 복부비만 상관관계,28
의문 연락,28
간수치,4
수치,22
길 고양이 발톱 상처 근육통,18
식도염 약과 양배추 즙 간격 복용,4
갑상선 크기,22
코 세척,7
점성 화학물질 흡입,21
혀끝,7
일자 목 어깨 목 통증 호전 연관,24
갑상선기능항진증 피 검사 결과,22
피 성형수술 전과 사항,7
아이 혈변,4
어르신 소화 불량 마사지,4
음식 구토,4
감염 확률 생각 마음,18
청소년 산부인과 보호자 갈수 임신 초기 증상,25
답변 빌리루빈 다음 검사,4
역류성 식도염 성대,4
입안 볼 덩어리,14
알부민 크레테,28
사람 기준,28
나이 증가,28
빌리루빈 수치,4
보충 자료,28
길고양이 발톱,18
식도염 약 부작용,4
자궁경부암 검사 방법,25
음식 구토,4
고혈압 운동 방법,23
자궁경부 확대 촬영 검사,25
자율신경,8
손,6
역류성 식도염 복용 여부,4
장염,4
기간 개 월동 성관계 못,25
증상 심장 불규칙,23
역류성 식도염 상태 성대 성형 술,15
증상 과로 증상,24
폐렴 예방 접종 프리 베 주 팔 통증,2
혈변 병원,4
목 물감 검사 후두 검사,7
식도염 약 복 용법,4
수면 위 경후 통증,4
