nouns,label
식도염 요구르트 요거트,3
공복 혈당 수치,19
후두 염 약도 소용,6
편두통 올해 간혹,5
신장 물혹 혈압,25
가슴 마구 공황장애,7
가래 기침,2
건강검진 산부인과 검사,22
가스 차고 트림,3
혈압 고혈압,20
물집 질문 사람,0
물집 고름 물집,0
주 몸,21
발 보라색,9
미열 근육통 증상 주간 중,9
질환 생활 식이요법 개선 방법,21
,20
설사,3
운동 근육 몸속 암세포 악성 세포 증거,10
카베 진 복용 소화 바,3
원리,20
감사 소화,3
복부 맥박,3
정말 목칼칼,6
내시경 경부 초음파 이유,22
숨 쉬기 정말,2
두통 어지러움 헛구역질,5
혈변 소변,3
소화 불량 후두 염증상,3
폐렴 균 백신,2
곤 지름 검사,22
노트북 사용 두통,5
리포 말글루 타치 온 정맥 투여 글루 타치 온 중 효과,0
미세 단백뇨,23
두통 연관,5
어지러움 증 목 아픔 연관,6
완전 항문 괄약근 치료,1
간 유리 음영 결절 염증 흔적 등,3
소화기 수치,3
여자친구 관계 통증,23
목 물감 목 원인 소화 불량 수도,6
왼쪽 머리,5
살 고혈압,20
위염 증상 여부,3
식이요법 부족,21
눈,5
피 검사 각종 항목 수치 암 유무 유추,8
역류성 질환 좀더 내용,3
밤 누우 증상,3
약 양제 간격,21
양제 복용 알 복용,21
관계 배 통증,22
음식,21
밥 소화,3
목 물감 용 각산 효능,21
,22
뒤통수 통증,5
병원 채혈 가정 혈당 차이,19
혈압 체크,20
관절,10
유산균 독성,3
증상 식도암 죽 지경,3
성기 기둥,23
식은땀 면서 손 심장,7
알러지 오메가,24
처음 비염 고생 중이 다가 증상,6
목 물감 목,6
서혜부 임파선,23
건강 기능 식품 차이점,21
자궁경부암 주사 친구,22
역류성 식도염,3
역류성 식도염 증상,3
유산균 제품,3
운동 땀 신장 부담 덜 가게,25
혈당 문의,19
몬테 츄정 복약,6
장 누수 증후군 락토핏골드 변비 지루 두피 염 도움,3
역류성 식도염 중상,3
친구 산부인과 자궁경부암 주사,22
편도 키스 성관계,6
어지럼증 답변,5
고혈압 약,20
감사 빈혈 원인,8
어지럼증,5
폐 결절,2
손발 저리 두통,5
사진 더러 움 주의 혈변,3
공복 혈당 전후,19
목 약간 피,2
과민성 대장 증후군,3
좀 목소리 편,6
인후 염 용 각산 효능,21
장염 약 빈속,3
소화 불량 고생,3
배 전체 통증,3
안정 심박수,20
식도 점막 절제 술,3
신생아 개월 예방접종 대학병원 방문,16
묘 기증 역류성 식도염,3
식후 혈당 수치,19
아침 바나나,21
설사,3
목 물감 과 식도염,3
스트레스 목,6
마그네슘 섭취 방법,3
접종 기간,22
다리 감 피곤,10
사구체 신장병,25
목,6
자궁경부암 검사 결과,22
대장암 수술 유산균 섭취,3
위염 위궤양 증상,3
명치 부분 거립니,3
소독 용 에탄올 흡입,3
오른쪽 배 통증,3
고혈압 답변,20
편도결석,6
비타민 하루 권 장량,21
바이러스 코로나 걱정,2
골 밀도 검사 방사 선량,19
고혈압 질문,20
비타민 과잉 섭취,21
냉방 병일,21
헛구역질,3
변비 약 성분 산화마그네슘 산화마그네슘 뭣,3
아연 섭취 기준,21
가슴 아침 얼굴,20
수치,3
심장 내과 이유,20
레이 노드 증후군,9
요즘 스트레스,7
추가 감염병 환자 소변 분비물 침등 접촉,16
요도 염,23
의료 상담 요청 로나 민 골드 정 뇌 세포막 통과 치매 예방 도움,7
코로나 증세 생활 공간 분리 언제,2
급성 미란 위염 증상,3
지속 변 면 동글동글 변,3
역류성 식도염,3
혈변 눴어,3
친구 증상 경동맥 박동 소리 게다가 이명 겹,6
고혈압 맥박 대면 몸 문제,20
가위 눌림,7
심장병,20
소변 검사 단백뇨,23
수치,2
금요일 화 밤 뒤통수,20
건강검진 당뇨 공복 혈당 더 정밀 검사,19
배꼽 아래,3
임파선,16
가슴 숨,20
가슴 답답 등 몸 상태 병원,20
목 가래,6
가슴 위 명치 뭐 증상,3
지우개 가루 흡입,3
변비 설사 대장암,3
전방 위증,11
수치,2
잔기침,6
변비 올리브유,3
소화 불량 개월 위 내시경,3
혈관 경화 요법 착색,0
간 낭종 간수치 질의,3
독감 등 예방주사,2
애 낳을 약 부작용 변비 해결 됫네,3
감,16
가래 피,2
사진 부위 심장 검사 사람,20
주전 검사 심장 촘파 운동 부하 단계 동맥경화 심장 정상 얐슴,20
체중 감소,19
자고 식은땀,21
자가면역질환 기관지 음식,24
사진 손 부위 통증,17
백혈구 수치,8
신경 뇌종양 소뇌,11
소화 불량 명치 통증 내시경 검사 주기,3
두통 증상 상황 코로나 두통 생각 듭니,5
사진 손 키 곳 혹시 코로나 검사 대상,2
오른쪽 목,6
대장 내시경,3
주전 냉 대변,3
체 뒤 후유증,3
머리 렁 구역 약,3
머리 아픔 렁,3
허리 통증 손발,11
마비 된거,3
관자놀이 핏줄 멍,8
밤낮 야간 근무 건강,7
네 김치,3
오른쪽 흉통,20
경도 승 판막 폐동맥 판막 역류 증,20
정수리 부근 통증,5
편두통,5
메녹틸정 가스 효과,3
생리 증후군 변비 생기 기도,22
가스 틴 에스 알 정은 약,3
복통 심해,3
심전도 사진,20
인슐린 마지막,19
저녁 혈압 더,20
어지럼증 몸 기운 체,3
내시경 결과 재,3
운 두통 속,3
위축 위염 장상 피 미란 위염 식도염 신부전,3
위 내시경 결과,3
거북목,11
흉부,15
아기 돌 발진,0
당뇨 합병증 확률 질환,19
머리 외상 간 적 외 사시,11
명치 끝,15
심전도 이상 초음파 심장,20
몸 힘 다리 누우,5
세인트존스 워트 국내 의약품,21
정장 매일 복용,3
편두통 약,5
왼쪽 가슴 부근 통증 질문,20
혈압 이완 답변,20
코 포르테 시럽 포 복용 음주,2
건강검진 간수치,3
혈압 이완,20
혈압 이완,20
약간 복통,3
몸 발열 코로 나일,2
편도 질병 법,6
근이완제 위장 약,3
몸 감 건,16
간 항목,3
전신 감각 이상,5
배 살이 유독 이유,19
식후 혈당,19
아스 페르 길 루스 증 항 알러지 주사,24
층 흡연 갈색 가래 발생 수도,2
위 부움 스트레스,3
한쪽 팔다리 힘,5
위 부움,3
저녁 혈압 더,20
기침 코로나 증상,2
메녹틸정,3
살이,19
기립 저혈압,20
메녹틸정 약,3
부정맥 검사,20
과민성 대장 증후군 처방약 성분,3
팔베개 슉슉하 소리,6
당뇨,19
당뇨 허기,19
약 성분 저 중 메스꺼움 약 건가,3
전신 두드러기 약 중 조영제,24
변비증,3
소변,23
아기 미열,2
체중 감소 갈비뼈 등,12
원장 추가 편두통 원래 양쪽 번갈아 가면 수도,5
달반 주사 부근 두드러기,0
예방접종,22
마 밀 효과,3
변비 기도,3
배 거 변,3
눈 초점 주위 중 일부 증세 구역 감,4
비타민,21
목 목마름 증상 목 내시경 검사,6
목 칼칼 겸 검사 괞,6
후두 염 증상 목 칼칼 서약 위 내시경 검사,6
고지혈증 약 바로,19
약국 판매 영영 제도 합성 비타민,21
감전,18
아버지 가슴 성적 피로,20
손 과,21
안구 통,4
조금 어도 두통,4
눈 앞 부분,4
이전 심장병 라면 의 심잡음,20
부정맥,20
천식 알러지 의료 상담 요청,24
엄마 형 간염 보균자 혈침,21
배변 습관,3
웰콘정 효과 건가,3
매일 변 양,3
체,3
그냥 가래,2
입냄새,3
판 토라 인과 라비 트,3
추가 홍인 표 전문의 님 알러지 비염,6
감사 바로 정 피타 바스타 틴 저녁,19
네 코피,6
알러지 약 질문,24
우유 웰콘정,3
가래 계속 헛기침 고,2
락토 프리 우유 유산균,3
웰콘정 마 밀,3
식도 경련 수도,3
기침 증상 코로나 증상 인지,2
엠에스 엠 장기 복용,17
고지혈증 약 바로,19
양제 추가 질문,21
명치,17
식은땀,21
아기 코딱지 이쑤시개,6
코로 음식물 역류,3
갈색 가래,2
위 내시경 목 통증 발열,6
양제 성분,21
고막 체온,16
날때,2
증상 콩 코르 정,20
잠 두통,5
항진,20
증상 소변 검사,23
항진 과 손목 맥박 수도,20
인슐린 호르몬 분비 증가,19
스파르가눔 기생충 감염 서요,16
여자 팔 왼손 저림 심장 부근 가슴 등 욱씬거림,5
구충제 복용,3
증상 당뇨,19
과일 주스,3
목 물감,6
구충제 복용,3
일사병,18
감기 약과 피임 약 복용 상호작용,22
편도염 코로나,6
목 가래 피,2
혀 안쪽 미세 유리 조각,18
목 가래 피 코로나,2
특정 음식 토,24
종양 표지,3
후,19
종합병원 위 내시경,3
난소 낭종,22
금요일 어지러움 증상 더위 먹음,18
맥주 소주 중 몸 더 뭘,3
기침,2
가슴 식사,3
위염 위 무력 증 위 하수 운동,3
라면 섭취 배 살살 설사,3
대변 거품 일어,3
가슴 답답 증상,3
눈 물감 두통,4
매독 증상,16
곰팡이 질문,16
제산제 복통,3
편도염 성병 편도염,6
집 지니 상비약,18
홍인 표 현재 증상 가스 상태,3
몸 양제 모기 약 구입,21
간수치,3
생리 체온,22
설사 열 조금 건가,3
암 중 담배 몸,2
평소 냉 소화,3
홍인 표 술 아주,3
변비 배변 위,3
병원 후두 식도 역류,3
트로포닌 수치 정상 인지,20
건강 검진 결과 간,3
피부 발진 습,0
소변 크레아티닌 수치,25
요로결석 복용,23
심박수 바로,20
혈당,19
목 가래 대학병원 이비인후과 진료,6
왼쪽 턱밑 목젖 주위 통증,6
목 물감 소화 관계,3
목 현상,6
재차 항문 약 복용 위 증상,1
헌혈 건강,8
단순 장염,3
단순 장염,3
골다공증 검사,19
배변,3
기침 배 통증,2
비 스테로이드 소염제 위궤양 자연 치유 재발,3
미열 몸 감,2
빈혈 검사,8
이마 몸 감 더위 먹음 건 사진 첨부,2
거품 변 노란색 변,3
여름 감기 코로나,2
기침 기침 컹컹 소리 걸,2
열 사진 첨부 더위 먹음,18
고지혈증 약,19
음식 목구멍 통증 심해,3
목 물감 목,6
고지혈증 복용,19
검은색 변,3
증상 열,16
색 변,3
어지러움,5
소화기 내과 내시경,3
장내 세균 증식 치료 어덯 치료,3
하나 더 느낌 약간,5
이유 흉부,20
역류성 식도염 약 복용 중 어지럼증,3
혹시 미열,2
코엔자임큐텐 양제 냉장고 보관 해도,21
장염 약 질문드랴,3
응급실,18
목 목칼칼 느낌,6
공복 혈당 연령,19
위축 위염 건가,3
목젖 부근 통증,6
방금 기립 저혈압,20
기립 저혈압,20
기립 저혈압,20
설사 점액 피,3
흉 통과 갈색 가래침,2
더위 증상 몸살,5
식도염 약 복용 어지럼증,3
복부 팽창,3
질문 정말 일반인 인슐린 사용 근육 방비 더,19
왼쪽 측면 위쪽 머리 부분 정수리,5
입술 아래 턱 뼈 통증,5
목칼칼 답답 음음 목 조금,6
기침 주 이상 코 목 이상무,2
배랑 등 통증,3
증상 열,16
형 간염 항체 저절로,3
자궁경부 이형성 증,22
고지혈증 진단,19
장염 위염 차이,3
체중 감소 팔다리,5
피 검사 백혈구,8
소금 섭취 량,21
변 볼때 힘 주 위 무리 가나,3
곰팡이 종류 확인,16
인슐린 말단비대증 남성화,19
비타민 칼슘,19
골다공증 예방 위해 칼슘 약 게,19
제한 환기 장애,2
자궁경부암 검사 해석,22
사후 피임 약 복용,22
위 내시경 음식,3
가슴 답답,20
심박수 가요,20
장염,3
위 무슨 병 소화 불량,3
한쪽 손,5
위장 법,3
장염 화가 처방 위염,3
요새 엄마 곤란 구역 구토 고생,5
경추 디스크,11
질 체력 운동 시작,10
몸살,2
장염 변비 사과,3
복통,3
백신 또,16
등 상처,0
밥 식후 혈당 이면 정상인 건가,19
당뇨 식단,19
위염 위장염,3
형 간염 활동 판정,3
당뇨 정밀 검사,19
장염 위염 오기,3
마 밀 기도,3
배 증상,3
체중 감소 카 등등,19
병 담 위염 식도염 소화 불량,3
식후 혈당,19
고기 설사,3
복부비만,19
당뇨 질문,19
음식물 옥수수 알 기도 가능성 증상,2
불안 증후군,7
치약 실수 약 복용,3
자궁경부암 검사 비정 세포 이유,22
수막 균 예방접종,16
복통 추가,3
가슴 통증,20
췌장염,3
목 물감 아침 목,6
위 증상,3
홍삼 부작용,21
피 검사 소독 솜 사용,16
장염 속 가나,3
간 기능 수치,3
위암,3
갑상선 수술 성적 칼슘 환자 이상 칼슘 복용 문제,19
자궁경부암 검사 결과,22
내시경,3
비오틴,21
양배추 즙 권 장량,21
몸살,2
위산 잠깐 역류,3
열 설사 근육통 코 비드 증상,2
인후 염 뭘,6
심장 검사 더리 중,20
목,6
술 약,3
당뇨 환자 홍삼 오메가 요,21
비타민 섭취,21
오메가 보관 법,19
요가 운동 위 신물,3
신경 위염 머,3
식사량 평상시,3
복통,3
뱃살 제일,19
병원 속 진단,3
마이쮸 목,18
씬지록신 복용 트립토판,19
건강검진 당뇨,19
목 상당,21
갑상선,19
생수 단맛 이나 이유,21
관장 약 게,3
건강 기능 식품,21
이번 피 검사 비타민,21
지금 식도염 약 복용 거의,3
유로 겐 수치,3
양치 입헹굴때 목 피 냄새,6
칼슘 추가,19
장마철 곰팡이 아기 아기 요,16
고혈압 커피,20
소화 불량 숨쉬기 열,3
지금 다이어트 네오,19
가슴 답답,20
설사,3
마 하루 알,3
개 월동,5
어지러움 증,5
혈당,19
목 물감,6
대변 볼때 배 통증,3
저녁 오이 위산 역류 칼라 지아,3
늑골 은 결합조직 장애,9
사제 놀 복용,3
운동,2
고혈압 약 복용 장기 손상 근거,20
자궁경부암 관계,22
티 파정 티리톤정,3
식욕부진,7
위산 제약 위산,3
가슴,20
당뇨 것,19
몸 감,2
목 아픔,6
쇠약 감 피로 증상 거,21
혈관 여부 알 볼 수 검사,20
혀 옆 뭐,6
설사,3
타치,6
식사 자꾸,21
초 살 피똥,3
약 반년 숨쉬기 답답,2
머리 속 얼굴 안쪽,5
자고 쌍 풀 사진 여기,25
현재 증상 식도염 알레르기 식도 이완 불능 증인,3
자고 쌍 풀,25
웰콘정 변비,3
변기 혈뇨,23
모기 물리,0
심박수 증가,20
알 벤다 졸 구충제 양제,21
오메가 출혈,8
목 물감 스트레스,6
해 포스 레오,21
공복 혈당 물 결과,19
혈당 문제,19
소변 검사 결과 체크,23
해 포스 레오,21
류마티스 다발 근육 염,9
목,6
목 이상,6
심장 검사 질문,20
장염 속 미식 거림,3
심장,20
질문 심장,20
가슴,20
식도 압 검사 하부 괄약근 압력,3
장염 퇴원 사과,3
후반 여자 일시 쇼크 긴장 풀림,5
숨 가래,2
두유 아픔,3
편두통 진통제,5
빈혈 검사,8
장염 퇴원 샐러드,3
장염 변비,3
편도염 코로나 수도,6
편도 몸살 증상,6
지르텍,24
추가 요 위장 장애 부작용 약,3
통수,11
하지정맥류,15
머리 한쪽,5
왼쪽 저림 증상,5
관절 사타구니 통증,17
목안 물감,6
목 매일 목 위로 뻐벅 뼈 소리,6
손톱 밑 모세혈관,9
연속 두통,5
턱관절 두통 어지럼증,21
관계 통증 질문 남자,23
소변 거품 당뇨,23
자궁 선근 증,22
일본 고혈압약 질문 사람,20
아침 약 복용 저녁 음주 여부,3
일본 고혈압약 약 정보,20
당뇨,19
당뇨 약 복용,19
가스트린 종은 점막 결절,3
유전자 유전자 유전자 건가,3
십이지장 궤양 위산,3
종아리,21
공복,3
구강 감,9
비만 세포 사람 라면 정상 세포,24
유리 조각,18
칼 테오 칼슘 반감기 시간,19
저희 할머니 피멍,8
하루 끼,19
수치 복용 시기 내분비 내과 답변,19
식중독 주일 이상 기도,16
수치 복용 시기,19
비만 호흡 상태,19
단백질 보충 섭취 법,21
트루 패스 구강 붕 해정,23
위염 치료 중 귀 염증 약,3
생리통,22
술 명치 부위,3
가슴,20
현기증 저체온증,5
과 호흡 전해질,25
입안 배 체트 병,9
수면 내시경 피로,3
몸 마그네슘 부족,5
수술 한코 염증 검사,14
역류성 식도염 회복기,3
밥 위 불편,3
위염 식도염 두통,3
배 걸 배,3
빈혈 원인 알 수 검사,8
응고 피 변 주변 피,3
주사 멍 금방,0
양쪽 점액 낭종 왼쪽 부비동염 수술,6
신경 차단 주사 시술 투여 액,12
과도 단백질 극단 탄수화물,21
변,3
갑상선 초음파 결과,19
감 재,2
마 밀정 하루 식,3
몸 감,2
감,2
심장 질문,20
재 부위,19
식도 압 검사 정상 역류 이유,3
골다공증,19
골다공증,19
살 골다공증 확률,19
변비,3
장염,3
시판 진통제 타이레놀,12
타이레놀,12
가정 혈압 병원 혈압 차이,20
신경치료 이빨 통증 치성 상악동 염,13
가지 기립 협압,20
메리 골드 차 유통 기한,21
콜레스테롤 저하 비 약물 복용 약물 복용,19
어지럼증 소화 불량 때매,3
점액 변,3
성인 백일해 예방접종,2
집 글리세린 관장 몇,3
두통,5
여름철 식중독 배탈,3
배 증상,3
다이어트,19
배 바늘 처럼,3
아침 식전 식도염 약 바로 걷기 운동 해도,3
아침 식전 식도염 약 걷기 운동 해도,3
장염 약,3
넥 시메 졸 캡슐 식후 복용,3
위염 역류성 식도염 오티렌 정,3
신경 일이 증상,7
앞목,21
스트레스 바로 위 통증,3
식도 산도 검사 이유 가용,3
성병 편도염 사이 관계,6
경부 초음파 관찰,6
현재 머리 재 대학병원 라면,5
결명자차 식수 대용,21
현재 머리,5
위 용종,3
목 물감 차 병원 진료,6
결명자차 대장 갈색,21
칼슘 수치,19
밤 왼쪽 머리 느낌 왼쪽 정수리 부분 시림 증상 내용 추가,5
깜짝 심장마비 수도,20
이뇨제 복용 중단 체중 증가,25
몸살 감기 코로나 증상,2
피지 낭종,19
비타민 스테로이드 성분,17
청소년 질내사정 임신,22
목 멍울,6
당뇨 가루 복용 약물 상호작용,21
구토 소화 불량,3
위 내시경,3
목 멍울 증상,3
가슴 가운데 통증,20
밤 누 왼쪽 옆 머리 느낌,5
아침 위,3
아기 오일 먹음,3
악보 휘 종종 머리,4
임신 테스트 결과,22
운동 기초 체력,10
장염,3
폐암 확률,2
후두 식도역류 목 현상,3
노 스위퍼 서요,6
침 가래 목 뚜둑 물감,6
목 물감,6
특수 건강검진 음주,3
생리,22
질문 임신 가능성 증상,22
골다공증 신장 질환,25
증 치료,6
신지 이드 갑상선 저하 증 약 덱실란트 디알 캡슐 복용,19
아기 토,3
과민성 대장 증후군 수,3
파상풍 재,16
파상풍 재,16
역류성 식도염 유제품,3
왼쪽 가슴 송곳 통증,20
목 고생,6
침 목 뚜둑 물감,20
보고 추가 대장암 등 질병 걱정,3
목소리 쉬 평소 차이점,6
뇌 질환,5
위 전반,3
위 상태 증상 번,3
왼쪽 눈 안구 통과 두통 머리 이명 소리,6
물 하루 리터 가까이,21
당뇨 약 복용,19
위장 증세,3
변성기,6
손가락,17
과 나이,25
개선,25
허리 둘레 복부비만 상관관계,25
의문 연락,25
간수치,3
수치,19
길 고양이 발톱 상처 근육통,16
식도염 약과 양배추 즙 간격 복용,3
갑상선 크기,19
코 세척,6
점성 화학물질 흡입,18
혀끝,6
일자 목 어깨 목 통증 호전 연관,21
갑상선기능항진증 피 검사 결과,19
피 성형수술 전과 사항,6
아이 혈변,3
어르신 소화 불량 마사지,3
음식 구토,3
감염 확률 생각 마음,16
청소년 산부인과 보호자 갈수 임신 초기 증상,22
답변 빌리루빈 다음 검사,3
역류성 식도염 성대,3
입안 볼 덩어리,13
알부민 크레테,25
사람 기준,25
나이 증가,25
빌리루빈 수치,3
보충 자료,25
길고양이 발톱,16
식도염 약 부작용,3
자궁경부암 검사 방법,22
음식 구토,3
고혈압 운동 방법,20
자궁경부 확대 촬영 검사,22
자율신경,7
손,5
역류성 식도염 복용 여부,3
장염,3
기간 개 월동 성관계 못,22
증상 심장 불규칙,20
역류성 식도염 상태 성대 성형 술,14
증상 과로 증상,21
폐렴 예방 접종 프리 베 주 팔 통증,2
혈변 병원,3
목 물감 검사 후두 검사,6
식도염 약 복 용법,3
수면 위 경후 통증,3
설사,3
식후 등산 소화 지장 생각,3
배아픔,3
