symptom,class
보스웰리아가 무릎관절에 도음이된다고하는데 도움이되는지요.,OS
제2형당뇨병 수면과관계가  있는지요,ENDO
거품뇨 및 허리,URO
자궁경부암 예방주사 남자,OBGY
아랫배 통증,GI
코가 왜이러죠,ENT
며칠째 소화가 잘 안되는 느낌,GI
설사가 지속되는데 대장내시경을 받아야겠죠?,GI
잠을 잔 뒤 몸을 일으키면 오한+발열이 생깁니다.,ENT
코가 뒤쪽으로 넘어가는게 느껴집니다,ENT
독감 예방접종 문의,IP
혈당이요,ENDO
레졸로정을 몇 달 정도 유지 해주는 게 좋을까요?,GI
아보카도 캡슐 복용 문의,KTM
펜터민 장기복용,AN
아보카도캡슐복용 고안압,OPH
당화혈색소검사  어디서하나요?,ENDO
시야 까매짐,OPH
변비가 너무 심하십니다.,GI
가래가 너~~~무 많습니다,IP
역류성 식도염 운동,GI
등오른쪽아래 불편,REHM
한달간 미열 지속,INFC
청국장먹고 방귀 그리고 가스가 막 차여ㅜㅜ,GI
편도염 완치 질문입니다,ENT
컴퓨터를 오래하면 열이날수있나요?,INFC
두통약을 먹어도 두통이 안없어짐,NR
후두염,ENT
편도에 삼출액이 지속적으로 나오는데 괜찮나요? 걱정 안해도 될까요,ENT
변 보고나서 생기는 복통?,GI
어깨 목 통증이 심합니다,KTM
출산한지 4개월정도되었는데 ..복통,GI
편도에 삼출액이 지속적으로 나오는데 괜찮나요?,OBGY
A형 간염 예방접종 관련 질문입니다,GI
건강검진을받았는데요 신장질환의심이랑 단백뇨라고 적혀있어요 어떻게해야할까요?,NPH
한쪽 코  안이 헐고 피가 나서 딱지가 생기기도 합니다.,ENT
역류성 후두염과 바이러스성 후두염은 다른건가요?,ENT
설사 변비 반복되고 소화가 자주 안되는 증상,GI
담배때문에 그런지 기침을 심하게 합니다.,IP
지속되는 미열 36.9~37.5도,INFC
영양제를 너무 많이먹는걸까요?,KTM
구토를했어요 어떻게해야할까요?,GI
주방세제 먹을경우,GI
오래 걸으면 발목이랑 발바닥이 많이 아픕니다.,OS
기능성소화불량증이라하셨는데요~~,GI
만성b형간염과 간경변증 완치는 가능한가요?,GI
선생님 답변입니다 최근 코가 막히고 콧물이 계속 넘어와서 ,ENT
건강 체력 목적으로 식후 식전 몇분뒤 운동해야하나요,REHM
이런증상은 뭐일까요? 배꼽 오른쪽으로 쿡쿡찌르는증상과 약간의당김증상이있었는데,GI
목안 이물질 어느 진료과로 가야할지 심각한건지 궁금해요,ENT
비밀차단 효과가 있는 마스크인지 궁금합니다,ENT
선생님 편도위에 그럼 무엇인가요?,ENT
오른쪽아랫배 불편함,GI
매일운동하는데 빈혈이 앉았다 일어날때 마다 오네요....,HEON
건강 체력 목적으로 유산소 운동 무산소 운동 중 무엇 먼저해야하나요?,REHM
건강 체력 목적으로 몇분에 운동해야 효과적인가여?,REHM
약먹을 때 목구멍 입구에서 걸리는 느낌,ENT
편도위에 혹?,ENT
많이더러울까요?? 세균들이 핸드폰에 다 묻었을까봐 걱정입니다  ,INFC
오른쪽 갈비 등쪽 통증,AN
우상복부통증 및 복부팽만,GI
이렇게 갑자기 거북목이 심해질 수가 있나요?,NS
혓바늘은 왜 나는거예요?,ENT
혓바늘,ENT
혀 오른쪽 뒷부분이랑 그쪽이랑 이어지는 목(목구멍)이 갑자기 아파요,ENT
심장병일수도 있나요?,CA
많이 더러울까요?? 세균들이 핸드폰에 다 묻었을까봐 걱정입니다  ,INFC
설사약 스멕타 복용법,GI
궁금해서요...어제 진통제 등으로 질문을 드렸던 상담자 인데요~,AN
공황장애가 있는데 요즘 스트레스를 너무 받아서 그런지 배가 아파요,GI
A형간염 예방주사 맞았는데 항체는 언제쯤 생기나요?,GI
걸을때마다 오른쪽 윗배 통증,GI
공황장애가 있고 원래 아프지 않았는데 요즘 스트레스인지 배가 너무 아픕니다 ㅠ,GI
아르기닌 복용할려고 하는데 제품 비교 부탁 되나요?,KTM
타이레놀 복용,IP
약 복용 상담드립니다 타이레놀이알 2알을 복용했는데 괜찮나요?,IP
타이레놀 ,ENT
타이레놀 이알서방정 650mg 2알 먹었습니다,ENT
타이레놀이알 2알을 복용했는데 괜찮나요?,IP
당뇨환자인데,ENDO
트림 속쓰림,GI
위염 어지러움,GI
변비 설사 반복증상과 소화가 잘안되는 증산,GI
자궁경부암 검사 결과 많이 심각한가요?,OBGY
A형 간염 검사해석,GI
가슴 중앙 통증,CA
역류성 후두염과 바이러스성 후두염 차이,ENT
수제요거트,KTM
h2차단제 및 기능성소화불량 약제 관련 문의 드립니다,GI
눈이 떨려요,NR
트림을 자주 하는 이유?,GI
밤이랑 자려고 눈 감았을때 눈이 아픕니다,OPH
아침 먹은후에 바로 속이 텅빈 것 같습니다.,GI
변비 시 물관장 괜찮나요?,GI
배가 아파요 임신인건가여? ,OBGY
혈액검사 질문이요.,HEON
비형간염 환자 건강식품 섭취 문의드립니다.,GI
포부틴정 식후에 복용 해도 되나요?,GI
식도염? 천식?혹시 천식도 이런증상이 나타날수있나요?? ,IP
장/위장에 문제가 있는 것 같습니다,GI
여자친구가 관계 후 배앓이 후 입원 간에 물이 찬거같다? Ct촬영 내일 결과 나오긴 하는데 너무 불안하네요,GI
차도없는 부비동염,ENT
손발이 너무 차갑고 저리고 입이 마르는 등 너무 많은 증상,KTM
당화혈색소 한달변화,ENDO
마그밀 하루몇알까지 먹는게 좋나요?,GI
당화혈색소 한달변화 ,ENDO
독감 예방접종 맞은 부위가,INFC
항생제도 자기한테 맞는게 있나요?,INFC
대장암 초기,GI
비형간염 보균자 건강식품 관련 문의드립니다,GI
웰콘정과 비슷한 처방전없이 살 수있는 변비약,GI
항암치료 중 발열 질문드립니다,INFC
1형당뇨인지 2형당뇨인지,ENDO
골밀도 검사 질문드립니다 (사진 두개 첨부하겠습니다),ENDO
급성신부전 수치 여기다 답변 남기겠습니다 선생님,NPH
피로가 쌓여 생긴 스트레스로 인한 건강 악화인지 정말로 건강악화인지 모르겠습니다,KTM
자궁근종검사 해봐야할까요?,OBGY
비타민c  효능에대해 밝혀진 사실,KTM
선생님께 골밀도 질문드립니다,ENDO
왼쪽 배 불편,GI
감기? 감기기운이 한달째 안나아요,IP
소변검사할 때 비타민 끊어야되나요,URO
종합비타민 셀지x 복용하고있는데요 장기복용 괜찮나요?,KTM
클로자핀과 당뇨,ENDO
선생님... 자궁경부암검사,OBGY
자궁경부암검사,OBGY
장염으로 CT를 찍었는데 이걸로 자궁근종도 알수있나요?,OBGY
일전에 부비동염으로 상담을 드린적이 있는데요~ 코에서 목으로 넘어간건가요?,ENT
추가질문 스트레스랑 단순 몸살이겠죠?,IP
자궁 경부검사,OBGY
당뇨검사중 인슐린검사,ENDO
거대세포바이러스,ALL
트림하려 하면 우측 쇄골쪽 통증,GI
당뇨검사중 인슐린검사가 뭐에요?,ENDO
위암일까요?,GI
인슐린검사,ENDO
자꾸 장염이.,GI
배꼽위 명치까지 통증,GI
만성장염인데요,GI
똥싸면서 설사,GI
약물 알러지에 대처하는 방법을 알려주세요,ALL
도파민 관여물질 질문드려요,PSY
영양섭취 부족...,KTM
IgA신증 4기환자입니다. 두통이 심해요,NPH
제가 혈압 때문에 대학병원 외래를 다니고 있습니다  대학병원외래에서종합병원으로?,CA
답변 감사합니다. 추가 질문드립니다. 가스가 차진 않지만 살짝 더부룩할때가 있습니다.,GI
증상이 복합적인데.. 미열,IP
과식을 했는데요,GI
장염이 3달동안 지속되기도 하나요?,GI
혈압약 복용시 커피 섭취...,CA
140 90 수치상 고혈압이지만 이 수치에도 고혈압증상이 나타나나여?,CA
고혈압일떄 다뇨 진한 노랜삭소변 증상이 나타날수 있나여?,NPH
히스판주관련 재질문,GI
그럼 현재복용중인 약에 타이레놀을?,IP
부비동염,ENT
당화혈색소,ENDO
자율신경실조증 증상 문의,PSY
저혈압일 경우 이렇게 많이 어지럽나요?,CA
머리가띵,NR
웰콘정,GI
머리가띵해요,NR
그럼 한미오메가3연질캡슐,ENDO
이지롱액 효능문의드립니다.,GI
옆구리.. 평소 변비이긴한데,GI
한미오메가3연질캡슐,ENDO
비수면대장내시경 후,GI
위 대장내시경 후 흡인성 폐렴?,IP
코로 날파리를 흡입했습니다,ENT
안녕하세요 질문이잇습니다 수면내시경을 하게되면 보호자가 필요한가요??,GI
선생님 궁금해요 코성형이 잘못되었을시에 부비동염이 올수있나요,PS
목에 항상 이물감이 느껴지고 역한 냄새가 납니다.,ENT
장염이 계속되고 있습니까?,GI
누우면 숨이 차는데 어디로 가야 하나요?,IP
역류성 식도염일까요?,GI
심각한 병이 아니면 굳이 병원을 가고 싶진 않아요... 6개월 넘게 설사를 하고 있습니다.,GI
위와 대장 내시경 전 복용약,GI
고혈압 환자는 장뇌삼이  안좋은가여?,KTM
위랑 대장 내시경 후,GI
20살인데 녹내장인가요?제발도와주세요,OPH
유능하신 원장님께 질문여쭙니다.도와주세요 의사가 고의로 신경치료도중 상악동쪽에 이물질을 삽입했다면 ,ENT
선생님 궁금해요 이비인후과에서 일반 축농증 부비동염 ct촬영시 ,ENT
위 대장내시경 선생님! 방금 위 대장내시경 질문했던 사람입니다!,GI
요즘 미주신경성실신 올때마다 구토감이 드는데요,NR
역류성식도염 가슴통증,GI
항히스타민제와 항우울 영양제를 같이 복용해도 되나요,PSY
역류성 식도염 관련 질문,GI
스피루리나,KTM
다이어트 심하게하면 케톤체양성 나올수도있나요?,ENDO
편도암 편도종괴?,ENT
가스가 자꾸 나오고 소화가 잘 안됩니다,GI
발가락 수술을 하고 마음에  안정이 안됩니다,OS
두달 전 날이 더운데도 자꾸 오싹오싹한 느낌이 들며 .. 증상이 이러한데 어떤 병원을 가야하나요?,PSY
가스모틴SR정 자기전에 먹어도 되나요??,GI
부비동염으로... 그럼 저녁에는 진통제 못 먹나요?,ENT
비오플250캡슐은 무슨 효능이 있나요?,GI
웰콘정 먹고 바로 누우면 안되나요?,GI
독감예방주사를 피하주사로..,IP
2주쯤 전에 혈변을 본 이후론 변 자체가 빨간색은 아닌데,GI
과민성 대장? 지방변?,GI
폐렴예방접종질문,IP
야생고양이한테 물려서 병원를 다녀왔습니다 ㅜ,INFC
내시경 검사시  후두염  있다고하면  안될까 해서요,ENT
후두염 증상 위내시경  검사 하게 되면  어떠한곳을 검사 하나요,ENT
혈압약변경후얼마나지나야하나요?,CA
후두염   위내시경 검사시 필요한 검사 없나요,ENT
바나나를 먹으면 배가 아픕니다.,ALL
알러지 점안액 질문,OPH
기립성 저혈압/빈혈,CA
몸살이 지속적으로 납니다,IP
매독...일까요?..,INFC
풀어지는 변일까요? 지방변일까요?,GI
영양제 추천 부탁드려요,KTM
복약상담 남편이 혈압약 텔미누보와  고지혈증약 크레토  복용중인데  ,CA
침을 뱉으면 피가 섞여서 나오는거 같아요.,IP
어떤 변비약을 중단하는게 좋을까요?,GI
쇄골 아래 오른쪽 통증,AN
결명자 권장량 좀 알려주세요!,KTM
턱걸이를 자투리 시간에 조금씩하는 것도 효과 있나요?,REHM
변비와 식품에 관해서 입니다.,GI
증상을 보시고 병명을 알려주세요...  단순 위무력증,GI
베로카 구입문의드립니다.,KTM
선생님께서 예전 이렇게 답변해주셨는데오 영상의학과에서는 이빨에문제가있는지도 봐주시는건가요? ,DENT
성인 독감4가주사 맞으면 감기 안걸리나요?,IP
복통과 설사,GI
밥먹고 최소 몇시간 뒤에 누울수 있나요?,GI
두통 등..,NR
CT상의 게실이 내시경에서는 안보인다고 합니다,GI
선생님 그러면치과에서 실수나 고의로 잇몸이나 이빨사이에 이물질 넣으면 엑스레이에 다 나타나나요?,ENT
이틀째 볼일을 아예 못봤어요,GI
식후 부글거리는 똥마려운 느낌,GI
목 이물감?이질감 에대해 질문드립니다,ENT
선생님 궁금해요 영상의학과에서는 이빨에문제가있는지도 봐주시는건가요? ,ENT
갑자기 혈압이높아져요!,CA
질문하겠습니다. 산책을 하던 중에 갑자기 숨이 가빠지면서 심장이 두방망이질치면 그냥 산책을 쭉 해야 하나요? 아니면 잠시 벤치에 앉아야 하나요?,CA
빠른답변 감사드립니다! 싱귤레어와 뮤코라제의 작용원리는 무엇일까요?,IP
싱귤레어정 장기복용시 간부작용 사례있을까요?,IP
누워있다가 일어나면 머리가 어지러워요 왜그러죠?,CA
호산구 수치가 낮으면 기생충 감염은 의심 안해도 되겠지요?,INFC
안쪽 어금니 치통,ENT
단순 위무력증,GI
비수면대장내시경 주사제,GI
선생님 궁금해요 부비동염 엑스레이(이비인후과검사)와 치아엑스레이,ENT
초기감기증상?에 좋은 약이나 음식 추천해주세요,ENT
변검사를 했는데요,GI
식도염 있을때 요구르트나 요거트 먹으면 안되나요?,GI
공복혈당수치,ENDO
후두염 약도소용 없네요,ENT
답변감사합니다. 편두통은 살면서 거의없었는데 올해들어 간혹생겼었습니다.,NR
신장에 물혹과 혈압,NPH
가슴이 마구 뜁니다. 이거 공황장애 맞나요?,PSY
가래가 낀것 같은 느낌이 들고 기침이납니다,IP
건강검진 산부인과 검사,OBGY
가스가 많이 차고 트림이 자주 나와요,GI
혈압때문에궁금해서요! (고혈압관련),CA
물집때문에 질문했던 사람입니다,DERM
물집 터뜨린후 고름 섞인 물집,DERM
2주 전부터 몸이 이상해요 도와주세요..,KTM
발이 보라색입니다.,RHEU
미열 및 근육통증상이 2주간 지속 중입니다.,RHEU
질환에 따른 생활 및 식이요법 개선 방법,KTM
두근거림!,CA
설사2,GI
운동을 해서 근육이 늘어난다는건 몸속에 암세포나 악성세포가 없다는 증거인가요?,REHM
카베진   복용하면 소화바 잘안도는것 같아요,GI
두근거림의 원리(?),CA
답변 감사드립니다. 소화,GI
복부 맥박,GI
답답합니다 정말 목칼칼 하면서  아파요 ,ENT
내시경 경부초음파   받아야 하는 이유?,OBGY
숨 쉬기가 정말 힘들어요,IP
두통 어지러움 헛구역질이 심합니다.,NR
혈변 검은소변,GI
소화불량과 후두염증상,GI
13가 폐렴구균 백신,IP
가다실 9가 맞기 전에 곤지름 검사해야 하나요?,OBGY
노트북을 사용하고 두통이 심하게 왔는데,NR
리포소말글루타치온과 정맥투여글루타치온 중에 어떤게 효과가 좋나요,DERM
미세단백뇨 질문드립니다,URO
두통과 연관이 있나요?,NR
어지러움증과 목아픔 연관성이 있나요?,ENT
완전 풀어져버린 항문괄약근의 근본치료는요?,GS
간유리음영 또는 결절 또는 염증의 흔적 등,GI
소화기 관련 수치 (ALT,GI
여자친구와 첫관계 후 통증,URO
목 이물감과 목잠김  원인 소화불량일수도 있나요,ENT
왼쪽머리가 아파요,NR
25살 고혈압,CA
위염 증상 여부,GI
식이요법에 의한 영양부족인가요 ,KTM
눈떨림,NR
일반피검사의 각종항목 수치로 암의 유무를 유추할수있나요?,HEON
역류성 질환에 대해 좀더 궁금한 내용이 있어 질문 드립니다.,GI
밤에 자려고 누우면 속이 안좋은 증상,GI
약 영양제 간격,KTM
영양제 복용질문 여러알을 다 복용해도되나요?,KTM
첫관계 후 아랫배 통증,OBGY
음식을 먹지않아도 배고프지않음 피곤함,KTM
밥먹고나서 소화가 안되고,GI
목 잠김과 이물감에 용각산효능,KTM
HPV,OBGY
뒤통수 통증,NR
병원채혈과 가정혈당계 차이,ENDO
혈압체크,CA
관절 약해짐,REHM
유산균 독성이 있는건지요?,GI
저번에도 비슷한 증상으로 질문했었는데식도암인가요.. 불안해 죽을지경입니다.,GI
성기 기둥에 뭐가났어요,URO
자다가 열나고 식은땀나면서 손 떨리고 심장이 빨리 뛰고 ,PSY
알러지에 오메가 3,ALL
태어나 처음으로 비염으로 고생중이다가 어제부터 다른증상이..,ENT
목이물감과 목잠김,ENT
서혜부 임파선,URO
건강기능식품의 차이점,KTM
자궁경부암 주사 친구랑 맞으러 갈건데 괜찮나요? ,OBGY
Re 역류성 식도염,GI
Re 역류성식도염 증상,GI
유산균제품  추천부탁드립니다.,GI
운동으로 땀을 많이 나게 해주면 신장에 부담이 덜 가게 되나요??,NPH
혈당 관련 문의,ENDO
몬테잘 츄정 복약문의드립니다.,ENT
장누수증후군이 무엇인가요 락토핏골드가 만성변비와 지루두피염에 도움될까요?,GI
역류성 식도염 중상,GI
친구랑 산부인과에 자궁경부암 주사 맞으러갈건데 괜찮나요,OBGY
편도가 살짝 부어있는데 키스나 성관계는 하면 안되나요?,ENT
어지럼증과 갑자기 잠이옵니다 답변 감사합니다,NR
고혈압 약먹고있는데,CA
답변 감사드립니다  빈혈이 생기는원인,HEON
어지럼증과 갑자기 잠이옵니다,NR
폐결절 질문 드립니다.,IP
불안하고 손발저리고 두통,NR
(사진 더러움 주의) 이거 혈변인가요?,GI
공복혈당이 120 전후이었는데ㅡ갑자기 141입니디,ENDO
목에서 약간의 피가 섞여 나옵니다,IP
과민성대장증후군인가요?,GI
제발좀 도와주세요ㅜㅜㅜ 목소리가 많이 안나오는 편인거 같아요!!,ENT
인후두염에 용각산효능,KTM
장염약인데 빈속에 먹어도 괜찮나요?,GI
몇달째 소화불량으로 고생하고 있어요..,GI
배전체 통증 질문드립니다.,GI
안정시 심박수,CA
식도점막절제술을 받았는데요,GI
신생아2개월예방접종전 대학병원방문괜찮나요?,INFC
묘기증과 역류성식도염,GI
식후 혈당 수치,ENDO
아침에 바나나,KTM
설사를 했는데요,GI
목이물감 과식도염,GI
이것저것 스트레스 때문에 목잠김  좋아지질않나요,ENT
마그네슘 섭취방법,GI
가다실 접종기간 문의,OBGY
다리열감 피곤,REHM
만성사구체신장병3기,NPH
목이 자주쉬어요!,ENT
자궁경부암 검사결과 문의,OBGY
대장암 수술 후 유산균 섭취,GI
위염.위궤양 증상,GI
명치부분이 간간히 따끔거립니다.,GI
소독용에탄올 흡입시?,GI
오른쪽 아랫배 통증....,GI
고혈압 관련 답변감사합니다 질문있어서요,CA
편도결석인가요 ?,ENT
비타민c 하루 권장량에 대해서,KTM
바이러스는 아닐텐데 뭘까요? ㅜㅜ 코로나 때문에 걱정이 되서요...,IP
골밀도 검사 방사선량,ENDO
고혈압관련 질문드려요,CA
비타민b 과잉섭취?,KTM
냉방병일 까요?,KTM
지속적인 헛구역질,GI
궁금해서요~ 변비약 성분이 산화마그네슘과 수산화마그네슘이 뭣이 다른가요?,GI
아연 섭취 기준,KTM
가슴이 답답하고 아침에 일어나면 얼굴,CA
ca19-9 수치가 505,GI
심장내과 가는 이유?,CA
레이노드 증후군?,RHEU
제가 요즘 스트레스를 많이 받아서요..,PSY
추가질문  감염병이 숨겨진 환자의 대소변이나 분비물?침등을 접촉해도  괜찮을지요?,INFC
요도염,URO
의료상담 요청드립니다. 아로나민골드정처럼 뇌세포막을 통과하고 치매예방에도 도움이 될까요?,PSY
코로나 의심증세로 생활공간 분리 언제까지 해야 될까요,IP
급성 미란성 위염 증상,GI
한달째 지속되는.. 변을 보는게 힘들고 보게되면 동글동글한 딱딱한 변을 보게됩니다.,GI
역류성 식도염..?,GI
혈변을 눴어요,GI
제 친구가 겪었던 증상입니다. 특히 경동맥의 박동 소리가 들렸다. 게다가 심한 이명까지 겹쳐서,ENT
고혈압인데 맥박이 50대면 몸에 무슨 문제가 있는건가요?,CA
가위 눌림,PSY
학생 심장병?,CA
소변검사 단백뇨 질문입니다.,URO
NSE 수치 문의드립니다.,IP
금요일에화를내고잤는데 밤에뒤통수쪽이아프더니,CA
건강검진 당뇨가 의심되서 공복혈당뿐만 아니라 더 정밀하게 검사받고싶은데 가능한가요?,ENDO
배꼽 아래 떨림,GI
임파선인지..,INFC
가슴이 답답하고 숨 쉬기 힘들어요,CA
가슴 답답 등 몸 상태가 안좋아서 병원 가려는데요..,CA
목가래,ENT
가슴이랑 위까지 메스껍고 명치쪽에 뭐가 걸린 것 같은 증상이 있습니다.,GI
지우개가루 흡입,GI
변비도 좀 생긴 것 같고 설사도 나오는 것 같은데 대장암인가요?,GI
전방전위증,NS
NSE 수치 질문드립니다.,IP
잔기침,ENT
변비에 올리브유가 좋다던데...,GI
지속적인 소화 불량이 있는데 5개월 전에 위내시경을 했어요,GI
혈관경화요법 후 착색 문의,DERM
간 낭종과 간수치 질의,GI
독감 등 예방주사,IP
애 낳을때처럼 힘들던 약 부작용으로 왔던 변비가  해결 됫네요.  ,GI
열감,INFC
가래에서 피가 나왔는데요,IP
사진부위가 아파요 심장검사 받았다던 사람입니다,CA
2주전에 검사 심장 촘파 운동부하5단계 동맥경화 심장ct 찍었는데 정상이얐슴다,CA
체중감소,ENDO
자고일어났는데 식은땀,KTM
자가면역질환과 기관지에 좋은 음식 추천해 주세요,ALL
사진에 있는 손 부위가 누르듯이 통증이 있어요 ,OS
백혈구 수치 질문드려요,HEON
(신경과)뇌종양 (소뇌)아닐까요.. 무섭습니다,NS
소화불량과 명치통증 및 내시경 검사주기,GI
두통 증상이 어떤 상황에서 지속됩니다 코로나 두통인가 하는 불길한 생각도 듭니다ㅠㅠ,NR
사진에 손으로 가르키는곳이 막 뻐근하게 아프네요 혹시 이것도 코로나 검사 대상이 되나요,IP
오른쪽 목 부음,ENT
ㅠ 대장내시경 5월달에 받았었는데,GI
2주전부터 냉?같은게 대변에 묻어나와요,GI
체하고 난 뒤의 후유증 질문드립니다.,GI
머리아프구 속울렁 구역 무슨약 먹어야하나요?,GI
머리아픔 속울렁,GI
허리 통증과 손발 쓰라림,NS
속이 마비된거 같아요.,GI
관자놀이에 핏줄터짐같은 멍이 생겼어요,HEON
밤낮이 바뀌지 않는 야간근무도 건강에 많이 해로운가요?,PSY
네 매운거 김치 잘먹었어요,GI
오른쪽 흉통이 자꾸 옵니다,CA
경도의 승모판막 및 폐동맥판막 역류증,CA
정수리 부근에 통증,NR
심한 편두통이 있던 후로 ,NR
메녹틸정40mg 가스찼을때도 효과있나요?,GI
생리전증후군으로 변비가 생기기도하나요?,OBGY
가스모틴에스알정은 어떤 약인가요?,GI
하 매운거 1도 먹을수없어요 복통이심해요,GI
심전도사진 다시 올립니다,CA
인슐린 마지막질문,ENDO
저녁혈압이 더 높아요ㅠ,CA
어지럼증은 없는데  몸에 기운이없고 속이 체한느낌?답답한느낌?,GI
내시경 결과 질문 (재질문),GI
운 뒤에 두통 속울렁거림,GI
만성위축성위염 장상피 미란성위염  식도염  만성신부전3기,GI
위내시경 결과,GI
학생 거북목,NS
흉부ct,CS
아기 돌 발진 질문드립니다.,DERM
당뇨 조심해야할것 합병증으로 올 확률이 높은질환들이 뭐가있을까요?,ENDO
머리외상 후 간헐적 외사시,NS
명치 끝 조이는 느낌,CS
심전도이상으로 초음파 심장 CT 찍었어요.,CA
몸에 힘이 없고 다리가 누우면 불편해요,NR
세인트존스워트와 국내 의약품 질문입니다,KTM
정장제 매일 복용해도 되는건가요??,GI
편두통 약,NR
왼쪽 가슴 부근 통증 관련 질문합니다,CA
혈압이완기 답변감사드립니다,CA
코대원포르테시럽(20ml) 1포 복용 후 음주 문의,IP
건강검진 간수치가 높게나왔어요.,GI
혈압이완기,CA
혈압 이완기,CA
약간의 복통,GI
몸 발열 코로나일까요..?? ,IP
편도관련 질병 빨리낫는법은 없나요?,ENT
근이완제 위장약 질문!,GI
몸에 자꾸 열감이 느껴지는 건 어떤 문제인가요,INFC
간 MRI 항목 문의,GI
전신 감각 이상,NR
아랫배살이 유독 튀어나오는이유,ENDO
식후혈당이 낮아요,ENDO
아스페르길루스증 + 항알러지 주사 질문이 있습니다,ALL
층간흡연으로 인해 갈색가래가 발생할 수도 있나요?,IP
위 부움 스트레스 많구요,GI
한쪽 팔다리가 힘이 없고 저린 느낌,NR
위 부움,GI
저녁혈압이 더 높아요,CA
마른기침 코로나증상은아니죠? ,IP
메녹틸정40mg 울렁거릴때 먹어도 되나요?,GI
살이자꾸빠져요,ENDO
기립성 저혈압 질문드려요,CA
메녹틸정이랑 같이먹으면 안되는 약,GI
부정맥 검사,CA
과민성대장증후군 처방약 성분 질문입니다,GI
팔베개 하면 슉슉하는 소리가 들려요,ENT
당뇨 모르는게 많네요..,ENDO
당뇨 너무 허기가 져요,ENDO
약 성분 좀 봐주세요.. 저 중에 울렁거림 메스꺼움 잡아주는 약이 어떤건가요?? ,GI
전신 두드러기로 약을 먹고 있는 중 조영제 CT,ALL
변비증상인가요??,GI
소변,URO
아기 미열,IP
지속적인 체중 감소 및 갈비뼈 조임 등,AN
원장님 추가질문드려요 편두통이 원래 양쪽이 번갈아가면서 아플 수도 있나요? ,NR
한달반 전에 DTP주사맞은부근에 두드러기가 나요,DERM
가다실9가 예방접종 문의드립니다.,OBGY
마그밀 효과가 이렇게 빨리 나타날까요?,GI
변비가 심하면 울렁거리기도 하나요?,GI
아랫배에 뭔가 만져지는데 이거 변..인가요? ,GI
갑자기 눈 초점 주위 중 일부가 검으면서도 반짝거려 보이는 증세와 구역감이 일어납니다.,OPH
비타민c질문드려요,KTM
목잠김 으로 목마름 증상으로 목이 답답한데  내시경 검사,ENT
목 칼칼 하면서  답답합니다 내시겸검사 괞잖을까요,ENT
후두염 증상 으로 목 칼칼 하면서약간 아픈 느낌에 위내시경검사,ENT
고지혈증약 리바로2.0mg 질문드립니다.,ENDO
